model,accuracy,macro_f1,weighted_f1,macro_f1_std,cv_folds,test_windows
random_forest,0.8677248677248677,0.8649157084182701,0.8665483064311995,0.03447006969233296,5,189
hist_gradient_boosting,0.8253968253968254,0.8238617976245628,0.8254536285434426,0.06927444204231215,5,189
decision_tree,0.8201058201058201,0.8183760683760685,0.8199294532627867,0.07805803415983827,5,189
